tipo,material,producto,unidad,largo_cm,ancho_cm,alto_cm,orientacion,fuente_dimension,lineas,cantidad_total,peso_kg_total,volumen_m3_total,palets_total
caja,0ZU0022,GRANINI NARANJA ZANAHORIA ACE 20CL 24U,CAJ,39.0,26.0,14.0,horizontal,ZM040 dimensiones directas,19,19.0,159.6,0.09119999999999999,0.2111111111111111
caja,0ZU0023,GRANINI PERA  20CL 24U,CAJ,39.0,26.0,14.0,horizontal,ZM040 dimensiones directas,1,1.0,8.4,0.0048,0.011111111111111112
caja,0ZU0024,GRANINI PIÑA 20CL 24U,CAJ,39.0,26.0,14.0,horizontal,ZM040 dimensiones directas,445,637.0,5350.8,3.0576,7.077777777777778
caja,0ZU0025,GRANINI TOMATE 20CL 24U,CAJ,39.0,26.0,14.0,horizontal,ZM040 dimensiones directas,14,15.0,126.0,0.072,0.16666666666666669
caja,0ZU0026,GRANINI MANZANA  20CL 24U,CAJ,39.0,26.0,14.0,horizontal,ZM040 dimensiones directas,89,92.0,772.8000000000001,0.44159999999999994,1.0222222222222224
caja,0ZU0027,LAMBDA MELOCOTON SIN 20CL 24U,CAJ,35.0,30.0,20.0,horizontal,ZM040 dimensiones directas,27,60.0,330.0,0.0012600000000000003,0.06
caja,0ZU0028,LAMBDA NARANJA SIN 20CL 24U,CAJ,35.0,30.0,20.0,horizontal,ZM040 dimensiones directas,16,36.0,198.0,0.0007560000000000002,0.036000000000000004
caja,0ZU0029,LAMBDA PIÑA  SIN 20CL 24U,CAJ,35.0,30.0,20.0,horizontal,ZM040 dimensiones directas,18,35.0,192.5,0.0007350000000000001,0.035
caja,0ZU0031,JUVER NECTAR MELOCOTON 20CL 24U,CAJ,32.0,30.0,20.0,horizontal,ZM040 dimensiones directas,44,47.0,423.0,0.22559999999999997,0.5340909090909091
caja,0ZU0032,JUVER NECTAR PIÑA 20CL 24U,CAJ,35.0,30.0,20.0,horizontal,ZM040 dimensiones directas,31,32.0,288.0,0.1536,0.36363636363636365
caja,0ZU0033,GRANINI ARANDANOS ROJOS 1L PET 6U,CAJ,25.0,17.0,25.0,horizontal,ZM040 dimensiones directas,2,2.0,17.0,0.012,0.021052631578947368
